# ahrs_csv source=esp32-c3 algo=vqf-c accel_unit=g gyro_unit=rad/s frame=hand bias_subtracted=1 nominal_fs=100
t_us,gx,gy,gz,ax,ay,az,qw,qx,qy,qz
4625734,-0.0004412085,0.0002059657,0.0007314812,0.037476,0.029114,1.0237,0.9997476,0.01405102,-0.01753597,0.0001018393
4638924,0.00075721,0.0004722816,0.0009977967,0.035645,0.027832,1.028,0.9997476,0.01404963,-0.01753243,0.0001069983
4651803,0.0006240532,7.280754e-05,0.0003320072,0.035767,0.027588,1.0248,0.9997477,0.01404686,-0.01753218,0.0001088218
4664872,-0.0005743727,0.0006054398,-0.0004669409,0.035156,0.028198,1.0269,0.9997479,0.01404135,-0.01752551,0.0001064761
4678159,-0.001373317,-0.0005929829,0.0001988485,0.03595,0.029968,1.0244,0.9997478,0.0140419,-0.0175297,0.0001071949
4691089,0.00075721,-0.001258773,0.001130955,0.036499,0.027405,1.026,0.9997476,0.01403885,-0.01753983,0.0001129972
4703844,9.141862e-05,-0.000726141,-0.0004669409,0.036133,0.029724,1.0243,0.9997475,0.0140453,-0.01754546,0.0001105444
4716954,0.0003577396,-0.0009924565,-0.0007332582,0.033997,0.028564,1.0245,0.9997475,0.01404687,-0.0175411,0.0001067155
4730145,-4.173815e-05,-0.0008592987,-0.0002006255,0.035889,0.026733,1.0242,0.9997476,0.01403696,-0.01754612,0.0001058296
4743517,-0.000973843,-0.0005929829,0.0007314812,0.036682,0.028442,1.0232,0.9997475,0.01403146,-0.01755408,0.0001094385
4756707,0.0008903667,-0.001125615,-0.0007332582,0.036255,0.028809,1.0243,0.9997472,0.01403708,-0.0175621,0.0001057871
4769818,0.001822479,0.001670704,-0.00126589,0.036072,0.029663,1.0256,0.9997472,0.01405141,-0.017555,9.966586e-05
4782481,0.0008903667,0.0008717561,-0.0002006255,0.035522,0.025635,1.0259,0.9997475,0.01404077,-0.01754921,9.904773e-05
4795683,0.001156688,0.0004722816,-0.00126589,0.033936,0.027771,1.0239,0.9997476,0.01404258,-0.01753794,9.280242e-05
4808609,-0.0001748949,-0.001791405,-0.001399048,0.036987,0.028198,1.0262,0.9997474,0.01403959,-0.01755253,8.578772e-05
4821820,0.0002245754,-0.0004598247,0.0001988485,0.034912,0.029968,1.0276,0.9997473,0.01404686,-0.01755022,8.6596e-05
4834824,-0.0003080517,-0.0004598247,6.568991e-05,0.037048,0.030518,1.0217,0.9997471,0.0140548,-0.01755916,8.679175e-05
4848020,0.0006240532,-0.001391931,0.0005983226,0.035522,0.02887,1.0231,0.9997469,0.01405918,-0.01756517,8.970263e-05
4861028,9.141862e-05,0.0006054398,-6.746687e-05,0.037659,0.027161,1.0236,0.9997469,0.01405286,-0.01757113,8.966165e-05
4874232,0.001822479,-0.0001935083,0.0001988485,0.03595,0.029846,1.0251,0.9997466,0.01406747,-0.01757276,9.071434e-05
4887247,0.001423001,-0.0003266665,-0.0008664168,0.033936,0.030579,1.0258,0.9997465,0.01408332,-0.01756562,8.621049e-05
4900450,-0.0003080517,-0.0003266665,-0.0002006255,0.035889,0.027771,1.0266,0.9997466,0.01407744,-0.01756743,8.523688e-05
4913821,-0.0004412085,0.0003391234,-6.746687e-05,0.037415,0.027954,1.0258,0.9997466,0.0140719,-0.01757295,8.504504e-05
4926995,-0.00124016,0.0004722816,0.0007314812,0.036377,0.028198,1.0262,0.9997467,0.01406345,-0.01757306,8.869819e-05
4940021,-0.001373317,0.0004722816,0.0001988485,0.036987,0.030029,1.0254,0.9997466,0.01406271,-0.01757595,8.957058e-05
4953131,-0.001373317,-0.001125615,0.0001988485,0.035522,0.028442,1.0249,0.9997467,0.01405503,-0.01758035,9.036137e-05
4966236,-0.001107,-0.0003266665,0.0003320072,0.03595,0.028748,1.0233,0.9997467,0.01405027,-0.0175829,9.189916e-05
4978989,0.0003577396,7.280754e-05,0.0005983226,0.036621,0.027954,1.0256,0.9997467,0.01404907,-0.01758599,9.502631e-05
4992089,0.0008903667,0.0003391234,-0.0007332582,0.03363,0.029236,1.0276,0.9997467,0.01405591,-0.01757455,9.128593e-05
5005205,0.0003577396,-0.001258773,0.0003320072,0.036011,0.026794,1.0262,0.9997467,0.01404977,-0.01758158,9.303752e-05
5018314,9.141862e-05,-0.0003266665,0.000864638,0.034912,0.028748,1.0243,0.9997468,0.01405081,-0.01757962,9.728197e-05
5031419,-0.001107,0.0004722816,0.0007314812,0.036804,0.028625,1.024,0.9997468,0.01404544,-0.01758168,0.0001009317
5044176,9.141862e-05,-0.0003266665,-0.0008664168,0.036011,0.02948,1.0279,0.9997467,0.01404928,-0.01758369,9.653407e-05
5057370,0.001023531,-0.000726141,-6.746687e-05,0.037354,0.028015,1.0256,0.9997464,0.01405187,-0.01759357,9.636822e-05
5070485,-0.0007075295,-0.0003266665,-0.0007332582,0.036987,0.026062,1.0223,0.9997466,0.0140384,-0.01760029,9.286607e-05
5083819,0.0008903667,-0.000726141,-0.0007332582,0.036255,0.027832,1.0265,0.9997465,0.01403968,-0.01760537,8.930619e-05
5096952,0.001156688,-0.001258773,0.0001988485,0.037048,0.026428,1.0262,0.9997463,0.01403663,-0.0176163,9.053411e-05
5109882,0.001156688,-6.035063e-05,0.000465164,0.036072,0.028198,1.024,0.9997462,0.01404091,-0.01761765,9.299716e-05
5122815,0.0002245754,0.0002059657,-0.0002006255,0.036316,0.029236,1.0249,0.9997461,0.01404459,-0.01761845,9.201002e-05
